127.0.0.1 - - [25/May/2023:09:54:46 +0900] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [25/May/2023:09:55:15 +0900] "GET /first/sample/openBoardList.dosample/ HTTP/1.1" 404 949
0:0:0:0:0:0:0:1 - - [25/May/2023:09:55:15 +0900] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [25/May/2023:09:55:50 +0900] "GET /first/sample/openBoardList.do HTTP/1.1" 200 14086
0:0:0:0:0:0:0:1 - - [25/May/2023:09:55:50 +0900] "GET /first/css/ui.css;jsessionid=EB5960FC7C8C30E3032077558079C638 HTTP/1.1" 200 1425
0:0:0:0:0:0:0:1 - - [25/May/2023:09:55:50 +0900] "GET /first/js/common.js;jsessionid=EB5960FC7C8C30E3032077558079C638 HTTP/1.1" 200 3907
0:0:0:0:0:0:0:1 - - [25/May/2023:09:55:58 +0900] "POST /first/sample/openBoardWrite.do;jsessionid=EB5960FC7C8C30E3032077558079C638 HTTP/1.1" 200 3014
0:0:0:0:0:0:0:1 - - [25/May/2023:09:55:58 +0900] "GET /first/js/common.js HTTP/1.1" 200 3907
0:0:0:0:0:0:0:1 - - [25/May/2023:09:55:58 +0900] "GET /first/css/ui.css HTTP/1.1" 200 1425
0:0:0:0:0:0:0:1 - - [25/May/2023:09:56:04 +0900] "POST /first/sample/insertBoard.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/May/2023:09:56:04 +0900] "GET /first/sample/openBoardList.do HTTP/1.1" 200 13675
0:0:0:0:0:0:0:1 - - [25/May/2023:09:56:07 +0900] "POST /first/sample/openBoardWrite.do HTTP/1.1" 200 3014
0:0:0:0:0:0:0:1 - - [25/May/2023:09:56:10 +0900] "POST /first/sample/insertBoard.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/May/2023:09:56:10 +0900] "GET /first/sample/openBoardList.do HTTP/1.1" 200 13658
0:0:0:0:0:0:0:1 - - [25/May/2023:09:56:17 +0900] "POST /first/sample/deleteBoard.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/May/2023:09:56:17 +0900] "GET /first/sample/openBoardList.do HTTP/1.1" 200 13690
0:0:0:0:0:0:0:1 - - [25/May/2023:09:58:10 +0900] "POST /first/sample/openBoardWrite.do HTTP/1.1" 200 3014
0:0:0:0:0:0:0:1 - - [25/May/2023:09:58:17 +0900] "POST /first/sample/insertBoard.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/May/2023:09:58:17 +0900] "GET /first/sample/openBoardList.do HTTP/1.1" 200 13675
0:0:0:0:0:0:0:1 - - [25/May/2023:09:58:19 +0900] "POST /first/sample/openBoardWrite.do HTTP/1.1" 200 3014
0:0:0:0:0:0:0:1 - - [25/May/2023:09:58:21 +0900] "POST /first/sample/insertBoard.do HTTP/1.1" 302 -
